Input 1) Small dataset or 2) Large dataset
2
Using large dataset!
Starting forward selection
1 2 3 5 6 7 8 9 10 11 12 13 16 17 22 24 26 27 28 29 30 33 34 35 37 38 39 40 , 0.792
1 2 3 5 6 7 8 9 10 11 12 16 17 22 24 26 27 28 29 30 33 34 35 37 38 39 40 , 0.794
1 2 3 5 6 7 8 9 10 11 12 16 17 22 24 26 27 28 30 33 34 35 37 38 39 40 , 0.793
2 3 5 6 7 8 9 10 11 12 16 17 22 24 26 27 28 30 33 34 35 37 38 39 40 , 0.794
2 3 5 6 7 8 9 10 11 12 16 17 22 24 26 27 28 30 33 35 37 38 39 40 , 0.798
2 3 5 6 7 8 10 11 12 16 17 22 24 26 27 28 30 33 35 37 38 39 40 , 0.792
2 3 5 6 7 8 10 11 12 16 17 22 24 26 27 30 33 35 37 38 39 40 , 0.789
2 3 5 6 7 8 10 11 12 16 17 22 24 26 27 30 33 37 38 39 40 , 0.796
2 3 5 6 7 8 10 11 12 16 17 24 26 27 30 33 37 38 39 40 , 0.793
3 5 6 7 8 10 11 12 16 17 24 26 27 30 33 37 38 39 40 , 0.799
3 5 6 7 8 10 11 12 16 17 24 26 27 30 33 37 39 40 , 0.794
3 5 6 7 8 10 11 12 16 17 24 26 27 30 33 37 39 , 0.795
3 5 6 7 8 10 11 12 16 17 24 26 30 33 37 39 , 0.795
3 5 6 7 8 10 11 12 16 17 24 26 30 33 37 , 0.802
3 5 6 7 8 10 12 16 17 24 26 30 33 37 , 0.798
3 5 6 7 8 10 12 16 17 26 30 33 37 , 0.798
3 5 6 7 8 10 16 17 26 30 33 37 , 0.798
3 5 6 7 10 16 17 26 30 33 37 , 0.793
3 5 6 7 10 16 17 26 30 33 , 0.785
3 5 6 7 10 16 17 26 33 , 0.789
3 5 6 7 16 17 26 33 , 0.807
3 5 6 7 16 26 33 , 0.798
3 6 7 16 26 33 , 0.808
3 6 7 16 26 , 0.82
3 6 7 26 , 0.845
3 6 26 , 0.84
3 6 , 0.829
3 , 0.852
, 0.164
, 0.164
Time: 386602 milliseconds

